Well,Sample Name,Detector,Task,Ct,StdDev Ct,Qty,Mean Qty,StdDev Qty,Filtered,Tm
F2,K3.1d.E,cel-mir-39,Unknown,20.32,0.170,,,,,76.40
F3,MC3.1d.E,cel-mir-39,Unknown,19.07,0.010,,,,,76.80
F4,MC3.1d.E,cel-mir-39,Unknown,19.09,0.010,,,,,76.80
F5,K3.1d.OE,cel-mir-39,Unknown,21.53,0.028,,,,,76.80
F6,K3.1d.OE,cel-mir-39,Unknown,21.57,0.028,,,,,76.80
F7,MC3.1d.OE,cel-mir-39,Unknown,23.30,0.094,,,,,76.80
F8,MC3.1d.OE,cel-mir-39,Unknown,23.17,0.094,,,,,76.40
F9,K3.1d.A,cel-mir-39,Unknown,19.89,0.164,,,,,76.40
F10,K3.1d.A,cel-mir-39,Unknown,19.66,0.164,,,,,76.40
F11,MC3.1d.A,cel-mir-39,Unknown,20.24,0.135,,,,,76.40
F12,MC3.1d.A,cel-mir-39,Unknown,20.44,0.135,,,,,76.10
G1,K2.1d.E,cel-mir-39,Unknown,20.06,0.203,,,,,76.40
G2,K2.1d.E,cel-mir-39,Unknown,19.77,0.203,,,,,76.10
G3,MC2.1d.E,cel-mir-39,Unknown,20.12,0.179,,,,,76.40
G4,MC2.1d.E,cel-mir-39,Unknown,19.86,0.179,,,,,76.40
G5,K2.1d.OE,cel-mir-39,Unknown,19.79,0.165,,,,,76.40
G6,K2.1d.OE,cel-mir-39,Unknown,20.02,0.165,,,,,76.40
G7,MC2.1d.OE,cel-mir-39,Unknown,23.58,0.044,,,,,76.40
G8,MC2.1d.OE,cel-mir-39,Unknown,23.52,0.044,,,,,76.40
G9,K2.1d.A,cel-mir-39,Unknown,20.54,0.060,,,,,76.40
G10,K2.1d.A,cel-mir-39,Unknown,20.45,0.060,,,,,76.10
G11,MC2.1d.A,cel-mir-39,Unknown,19.76,0.151,,,,,76.10
G12,MC2.1d.A,cel-mir-39,Unknown,19.98,0.151,,,,,75.70
H1,K1.1d.E,cel-mir-39,Unknown,21.04,0.124,,,,,76.10
H2,K1.1d.E,cel-mir-39,Unknown,20.86,0.124,,,,,76.10
H3,MC1.1d.E,cel-mir-39,Unknown,19.55,0.005,,,,,76.40
H4,MC1.1d.E,cel-mir-39,Unknown,19.56,0.005,,,,,76.40
H5,K1.1d.OE,cel-mir-39,Unknown,20.09,0.074,,,,,76.40
H6,K1.1d.OE,cel-mir-39,Unknown,20.19,0.074,,,,,76.40
H7,MC1.1d.OE,cel-mir-39,Unknown,25.46,0.037,,,,,76.40
H8,MC1.1d.OE,cel-mir-39,Unknown,25.41,0.037,,,,,76.10
H9,K1.1d.A,cel-mir-39,Unknown,21.34,0.013,,,,,76.10
H10,K1.1d.A,cel-mir-39,Unknown,21.32,0.013,,,,,76.10
H11,MC1.1d.A,cel-mir-39,Unknown,19.83,0.175,,,,,76.10
H12,MC1.1d.A,cel-mir-39,Unknown,20.07,0.175,,,,,75.70
