goid,definition,ontology,term,number_of_transctipts,transcripts_id
GO:0008203,"The chemical reactions and pathways involving cholesterol, cholest-5-en-3 beta-ol, the principal sterol of vertebrates and the precursor of many steroids, including bile acids and steroid hormones. It is a component of the plasma membrane lipid bilayer and of plasma lipoproteins and can be found in all animal tissues.",BP,cholesterol metabolic process,1,TRINITY_DN34646_c0_g1_i4
GO:0008285,"Any process that stops, prevents or reduces the rate or extent of cell proliferation.",BP,negative regulation of cell proliferation,1,TRINITY_DN29597_c3_g1_i1
GO:0009306,The controlled release of proteins from a cell.,BP,protein secretion,1,TRINITY_DN38096_c2_g2_i5
GO:0010033,"Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of an organic substance stimulus.",BP,response to organic substance,1,TRINITY_DN34646_c0_g1_i10
GO:0010638,"Any process that increases the frequency, rate or extent of a process involved in the formation, arrangement of constituent parts, or disassembly of an organelle.",BP,positive regulation of organelle organization,1,TRINITY_DN38687_c3_g2_i4
GO:0010751,"Any process that decreases the rate, frequency or extent of nitric oxide mediated signal transduction. Nitric oxide mediated signal transduction is a series of molecular signals mediated by the detection of nitric oxide (NO).",BP,negative regulation of nitric oxide mediated signal transduction,1,TRINITY_DN21751_c0_g1_i1
GO:0016032,"A multi-organism process in which a virus is a participant. The other participant is the host. Includes infection of a host cell, replication of the viral genome, and assembly of progeny virus particles. In some cases the viral genetic material may integrate into the host genome and only subsequently, under particular circumstances, 'complete' its life cycle.",BP,viral process,1,TRINITY_DN36387_c3_g1_i2
GO:0016126,"The chemical reactions and pathways resulting in the formation of sterols, steroids with one or more hydroxyl groups and a hydrocarbon side-chain in the molecule.",BP,sterol biosynthetic process,1,TRINITY_DN34646_c0_g1_i10
GO:0016192,"A cellular transport process in which transported substances are moved in membrane-bounded vesicles; transported substances are enclosed in the vesicle lumen or located in the vesicle membrane. The process begins with a step that directs a substance to the forming vesicle, and includes vesicle budding and coating. Vesicles are then targeted to, and fuse with, an acceptor membrane.",BP,vesicle-mediated transport,1,TRINITY_DN38096_c2_g2_i5
GO:0021766,The progression of the hippocampus over time from its initial formation until its mature state.,BP,hippocampus development,1,TRINITY_DN21751_c0_g1_i1
GO:0030219,The process in which a myeloid precursor cell acquires specializes features of a megakaryocyte.,BP,megakaryocyte differentiation,1,TRINITY_DN29597_c3_g1_i1
GO:0030317,Any process involved in the controlled movement of a flagellated sperm cell.,BP,flagellated sperm motility,1,TRINITY_DN21751_c0_g1_i1
GO:0030511,"Any process that activates or increases the frequency, rate or extent of TGF-beta receptor signaling pathway activity.",BP,positive regulation of transforming growth factor beta receptor signaling pathway,1,TRINITY_DN29597_c3_g1_i1
GO:0031658,"Any process that stops, prevents, or reduces the frequency, rate or extent of cyclin-dependent protein serine/threonine kinase activity contributing to the G1/S transition of the cell cycle.",BP,negative regulation of cyclin-dependent protein serine/threonine kinase activity involved in G1/S transition of mitotic cell cycle,1,TRINITY_DN29597_c3_g1_i1
GO:0031668,"Any process that results in a change in state or activity of a cell (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of an extracellular stimulus.",BP,cellular response to extracellular stimulus,1,TRINITY_DN29597_c3_g1_i1
GO:0031670,"Any process that results in a change in state or activity of a cell (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a nutrient stimulus.",BP,cellular response to nutrient,1,TRINITY_DN29597_c3_g1_i1
GO:0032922,"Any process that modulates the frequency, rate or extent of gene expression such that an expression pattern recurs with a regularity of approximately 24 hours.",BP,circadian regulation of gene expression,1,TRINITY_DN26805_c5_g1_i2
GO:0033138,"Any process that activates or increases the frequency, rate or extent of the phosphorylation of peptidyl-serine.",BP,positive regulation of peptidyl-serine phosphorylation,1,TRINITY_DN21751_c0_g1_i1
GO:0033384,The chemical reactions and pathways resulting in the formation of geranyl diphosphate.,BP,geranyl diphosphate biosynthetic process,3,"TRINITY_DN36387_c3_g1_i2,TRINITY_DN32057_c4_g1_i3,TRINITY_DN36387_c3_g1_i1"
GO:0033488,"The chemical reactions and pathways resulting in the formation of cholesterol, cholest-5-en-3 beta-ol, via the intermediate 24,25-dihydrolanosterol.",BP,"cholesterol biosynthetic process via 24,25-dihydrolanosterol",1,TRINITY_DN34069_c0_g1_i3
GO:0042326,"Any process that stops, prevents or decreases the rate of addition of phosphate groups to a molecule.",BP,negative regulation of phosphorylation,1,TRINITY_DN29597_c3_g1_i1
GO:0042752,"Any process that modulates the frequency, rate or extent of a circadian rhythm. A circadian rhythm is a biological process in an organism that recurs with a regularity of approximately 24 hours.",BP,regulation of circadian rhythm,1,TRINITY_DN26805_c5_g1_i2
GO:0042981,Any process that modulates the occurrence or rate of cell death by apoptotic process.,BP,regulation of apoptotic process,1,TRINITY_DN26805_c5_g1_i2
GO:0043406,"Any process that activates or increases the frequency, rate or extent of MAP kinase activity.",BP,positive regulation of MAP kinase activity,1,TRINITY_DN26805_c5_g1_i2
GO:0045019,"Any process that stops, prevents, or reduces the frequency, rate or extent of the chemical reactions and pathways resulting in the formation of nitric oxide.",BP,negative regulation of nitric oxide biosynthetic process,1,TRINITY_DN21751_c0_g1_i1
GO:0045199,The maintenance of the apicobasal polarity of an epithelial cell.,BP,maintenance of epithelial cell apical/basal polarity,1,TRINITY_DN38687_c3_g2_i4
GO:0045337,The chemical reactions and pathways resulting in the formation of farnesyl diphosphate.,BP,farnesyl diphosphate biosynthetic process,3,"TRINITY_DN36387_c3_g1_i2,TRINITY_DN36387_c3_g1_i1,TRINITY_DN32057_c4_g1_i3"
GO:0045540,"Any process that modulates the frequency, rate or extent of the chemical reactions and pathways resulting in the formation of cholesterol.",BP,regulation of cholesterol biosynthetic process,1,TRINITY_DN34646_c0_g1_i10
GO:0045892,"Any process that stops, prevents, or reduces the frequency, rate or extent of cellular DNA-templated transcription.",BP,"negative regulation of transcription, DNA-templated",1,TRINITY_DN26805_c5_g1_i2
GO:0045893,"Any process that activates or increases the frequency, rate or extent of cellular DNA-templated transcription.",BP,"positive regulation of transcription, DNA-templated",1,TRINITY_DN26805_c5_g1_i2
GO:0045944,"Any process that activates or increases the frequency, rate or extent of transcription from an RNA polymerase II promoter.",BP,positive regulation of transcription from RNA polymerase II promoter,1,TRINITY_DN29597_c3_g1_i1
GO:0046040,"The chemical reactions and pathways involving IMP, inosine monophosphate.",BP,IMP metabolic process,1,TRINITY_DN26794_c1_g1_i2
GO:0046085,"The chemical reactions and pathways involving adenosine, adenine riboside, a ribonucleoside found widely distributed in cells of every type as the free nucleoside and in combination in nucleic acids and various nucleoside coenzymes.",BP,adenosine metabolic process,1,TRINITY_DN26794_c1_g1_i2
GO:0048536,"The process whose specific outcome is the progression of the spleen over time, from its formation to the mature structure. The spleen is a large vascular lymphatic organ composed of white and red pulp, involved both in hemopoietic and immune system functions.",BP,spleen development,1,TRINITY_DN29597_c3_g1_i1
GO:0050680,"Any process that stops, prevents or reduces the rate or extent of epithelial cell proliferation.",BP,negative regulation of epithelial cell proliferation,2,"TRINITY_DN29597_c3_g1_i1,TRINITY_DN26805_c5_g1_i2"
GO:0051001,Any process that stops or reduces the activity of the enzyme nitric-oxide synthase.,BP,negative regulation of nitric-oxide synthase activity,1,TRINITY_DN21751_c0_g1_i1
GO:0051599,"Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a hydrostatic pressure stimulus. Hydrostatic pressure is the force acting on an object in a system where the fluid is at rest (as opposed to moving). The weight of the fluid above the object creates pressure on it.",BP,response to hydrostatic pressure,1,TRINITY_DN21751_c0_g1_i1
GO:0070588,A process in which a calcium ion is transported from one side of a membrane to the other by means of some agent such as a transporter or pore.,BP,calcium ion transmembrane transport,1,TRINITY_DN21751_c0_g1_i1
GO:0070885,"Any process that stops, prevents, or reduces the frequency, rate or extent of the calcineurin-NFAT signaling cascade.",BP,negative regulation of calcineurin-NFAT signaling cascade,1,TRINITY_DN21751_c0_g1_i1
GO:0071872,"Any process that results in a change in state or activity of a cell (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of an epinephrine stimulus. Epinephrine is a catecholamine that has the formula C9H13NO3; it is secreted by the adrenal medulla to act as a hormone, and released by certain neurons to act as a neurotransmitter active in the central nervous system.",BP,cellular response to epinephrine stimulus,1,TRINITY_DN21751_c0_g1_i1
GO:0072659,"A process in which a protein is transported to, or maintained in, a specific location in the plasma membrane.",BP,protein localization to plasma membrane,1,TRINITY_DN38687_c3_g2_i4
GO:0090190,"Any process that increases the rate, frequency or extent of branching involved in ureteric bud morphogenesis, the process in which the branching structure of the ureteric bud is generated and organized. The ureteric bud is an epithelial tube that grows out from the metanephric duct. The bud elongates and branches to give rise to the ureter and kidney collecting tubules.",BP,positive regulation of branching involved in ureteric bud morphogenesis,1,TRINITY_DN26805_c5_g1_i2
GO:0098736,Any process that decreases the force of heart muscle contraction.,BP,negative regulation of the force of heart contraction,1,TRINITY_DN21751_c0_g1_i1
GO:1900082,"Any process that stops, prevents or reduces the frequency, rate or extent of arginine catabolic process.",BP,negative regulation of arginine catabolic process,1,TRINITY_DN21751_c0_g1_i1
GO:1901205,"Any process that stops, prevents or reduces the frequency, rate or extent of a cardiac adrenergic receptor signaling pathway.",BP,negative regulation of adrenergic receptor signaling pathway involved in heart process,1,TRINITY_DN21751_c0_g1_i1
GO:1901660,The directed movement of calcium ion out of a cell or organelle.,BP,calcium ion export,1,TRINITY_DN21751_c0_g1_i1
GO:1902806,"Any process that modulates the frequency, rate or extent of cell cycle G1/S phase transition.",BP,regulation of cell cycle G1/S phase transition,1,TRINITY_DN21751_c0_g1_i1
GO:1903243,"Any process that stops, prevents or reduces the frequency, rate or extent of cardiac muscle hypertrophy in response to stress.",BP,negative regulation of cardiac muscle hypertrophy in response to stress,1,TRINITY_DN21751_c0_g1_i1
GO:1903249,"Any process that stops, prevents or reduces the frequency, rate or extent of citrulline biosynthetic process.",BP,negative regulation of citrulline biosynthetic process,1,TRINITY_DN21751_c0_g1_i1
GO:2000134,Any cell cycle regulatory process that prevents the commitment of a cell from G1 to S phase of the mitotic cell cycle.,BP,negative regulation of G1/S transition of mitotic cell cycle,1,TRINITY_DN29597_c3_g1_i1
GO:2000481,"Any process that activates or increases the frequency, rate or extent of cAMP-dependent protein kinase activity.",BP,positive regulation of cAMP-dependent protein kinase activity,1,TRINITY_DN21751_c0_g1_i1
GO:2001235,"Any process that activates or increases the frequency, rate or extent of apoptotic signaling pathway.",BP,positive regulation of apoptotic signaling pathway,1,TRINITY_DN26805_c5_g1_i2
GO:0000122,"Any process that stops, prevents, or reduces the frequency, rate or extent of transcription from an RNA polymerase II promoter.",BP,negative regulation of transcription from RNA polymerase II promoter,1,TRINITY_DN39482_c3_g2_i3
GO:0000132,A cell cycle process that sets the alignment of mitotic spindle relative to other cellular structures.,BP,establishment of mitotic spindle orientation,1,TRINITY_DN33835_c3_g3_i1
GO:0000139,The lipid bilayer surrounding any of the compartments of the Golgi apparatus.,CC,Golgi membrane,5,"TRINITY_DN30654_c5_g2_i13,TRINITY_DN26863_c0_g1_i4,TRINITY_DN33417_c0_g1_i7,TRINITY_DN28381_c5_g2_i12,TRINITY_DN35048_c3_g3_i7"
GO:0000146,"Catalysis of movement along a microfilament, coupled to the hydrolysis of a nucleoside triphosphate (usually ATP).",MF,microfilament motor activity,2,"TRINITY_DN27982_c1_g2_i1,TRINITY_DN29538_c0_g1_i1"
GO:0000166,"Interacting selectively and non-covalently with a nucleotide, any compound consisting of a nucleoside that is esterified with (ortho)phosphate or an oligophosphate at any hydroxyl group on the ribose or deoxyribose.",MF,nucleotide binding,1,TRINITY_DN26794_c1_g1_i3
GO:0000212,"A process that is carried out at the cellular level which results in the assembly, arrangement of constituent parts, or disassembly of the microtubule spindle during a meiotic cell cycle.",BP,meiotic spindle organization,1,TRINITY_DN29538_c0_g1_i2
GO:0000248,"Catalysis of the reaction: 5,7,24(28)-ergostatrienol + O2 + NADPH = 5,7,22,24(28)-ergostatetraenol + 2 H2O + NADP+.",MF,C-5 sterol desaturase activity,1,TRINITY_DN31513_c7_g2_i1
GO:0000252,"Catalysis of the reaction: 3-beta-hydroxy-4-beta-methyl-5-alpha-cholesta-8,24-dien-4-alpha-carboxylate + NAD(P)+ = 4-alpha-methyl-5-alpha-cholesta-8,24-dien-3-one + CO2 + NAD(P)H.",MF,C-3 sterol dehydrogenase (C-4 sterol decarboxylase) activity,1,TRINITY_DN35906_c1_g4_i4
GO:0000293,Catalysis of the reaction: 2 Fe2+ + NAD+ = 2 Fe3+ + NADH + H(+).,MF,ferric-chelate reductase activity,1,TRINITY_DN35317_c1_g2_i16
GO:0000302,"Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a reactive oxygen species stimulus. Reactive oxygen species include singlet oxygen, superoxide, and oxygen free radicals.",BP,response to reactive oxygen species,1,TRINITY_DN25736_c0_g1_i1
GO:0000339,Interacting selectively and non-covalently with a 7-methylguanosine (m7G) group or derivative located at the 5' end of an RNA molecule.,MF,RNA cap binding,1,TRINITY_DN29260_c4_g2_i5
GO:0000398,"The joining together of exons from one or more primary transcripts of messenger RNA (mRNA) and the excision of intron sequences, via a spliceosomal mechanism, so that mRNA consisting only of the joined exons is produced.",BP,"mRNA splicing, via spliceosome",1,TRINITY_DN30077_c4_g1_i2
GO:0000463,"Any process involved in the maturation of a precursor Large SubUnit (LSU) ribosomal RNA (rRNA) molecule into a mature LSU-rRNA molecule from the pre-rRNA molecule originally produced as a tricistronic rRNA transcript that contains the Small Subunit (SSU) rRNA, 5.8S rRNA, and Large Subunit (LSU) in that order from 5' to 3' along the primary transcript.",BP,"maturation of LSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)",1,TRINITY_DN30417_c2_g2_i5
GO:0000712,"The cleavage and rejoining of intermediates, such as Holliday junctions, formed during meiotic recombination to produce two intact molecules in which genetic material has been exchanged.",BP,resolution of meiotic recombination intermediates,1,TRINITY_DN39023_c0_g1_i7
GO:0000786,"A complex comprised of DNA wound around a multisubunit core and associated proteins, which forms the primary packing unit of DNA into higher order structures.",CC,nucleosome,1,TRINITY_DN20935_c0_g1_i1
GO:0000790,"The ordered and organized complex of DNA, protein, and sometimes RNA, that forms the chromosome in the nucleus.",CC,nuclear chromatin,1,TRINITY_DN25629_c0_g1_i1
GO:0000815,An endosomal sorting complex required for transport. Consists of two soluble subcomplexes of highly charged coiled-coil proteins and is required for sorting and/or concentration of multivesicular body (MVB) cargoes.,CC,ESCRT III complex,1,TRINITY_DN38687_c3_g3_i1
GO:0000819,The cell cycle process in which sister chromatids are organized and then physically separated and apportioned to two or more sets.,BP,sister chromatid segregation,1,TRINITY_DN39023_c0_g1_i7
GO:0000902,The developmental process in which the size or shape of a cell is generated and organized.,BP,cell morphogenesis,2,"TRINITY_DN32606_c0_g1_i2,TRINITY_DN25629_c0_g1_i1"
GO:0000904,"The change in form (cell shape and size) that occurs when relatively unspecialized cells, e.g. embryonic or regenerative cells, acquire specialized structural and/or functional features that characterize the cells, tissues, or organs of the mature organism or some other relatively stable phase of the organism's life history.",BP,cell morphogenesis involved in differentiation,1,TRINITY_DN29538_c0_g1_i1
GO:0000961,"Any process that stops, prevents, or reduces the frequency, rate or extent of the chemical reactions and pathways involving catabolism in the mitochondrion of RNA transcribed from the mitochondrial genome.",BP,negative regulation of mitochondrial RNA catabolic process,1,TRINITY_DN31840_c4_g2_i1
GO:0000977,Interacting selectively and non-covalently with a specific sequence of DNA that is part of a regulatory region that controls the transcription of a gene or cistron by RNA polymerase II.,MF,RNA polymerase II regulatory region sequence-specific DNA binding,2,"TRINITY_DN39482_c3_g2_i3,TRINITY_DN32325_c0_g2_i1"
GO:0000981,Interacting selectively and non-covalently with a specific DNA sequence in order to modulate transcription by RNA polymerase II. The transcription factor may or may not also interact selectively with a protein or macromolecular complex.,MF,"RNA polymerase II transcription factor activity, sequence-specific DNA binding",2,"TRINITY_DN25629_c0_g1_i1,TRINITY_DN32325_c0_g2_i1"
GO:0001227,"Interacting selectively and non-covalently with a sequence of DNA that is in the regulatory region for RNA polymerase II (RNAP II) in order to stop, prevent, or reduce the frequency, rate or extent of transcription from an RNA polymerase II promoter.",MF,"transcriptional repressor activity, RNA polymerase II transcription regulatory region sequence-specific binding",1,TRINITY_DN39482_c3_g2_i3
GO:0001503,"The formation of bone or of a bony substance, or the conversion of fibrous tissue or of cartilage into bone or a bony substance.",BP,ossification,1,TRINITY_DN35492_c1_g1_i4
GO:0001525,Blood vessel formation when new vessels emerge from the proliferation of pre-existing blood vessels.,BP,angiogenesis,6,"TRINITY_DN27982_c1_g2_i1,TRINITY_DN32606_c0_g1_i2,TRINITY_DN36376_c1_g1_i1,TRINITY_DN29538_c0_g1_i2,TRINITY_DN35492_c1_g1_i1,TRINITY_DN32325_c0_g2_i1"
GO:0001553,The set of processes resulting in differentiation of theca and granulosa cells into luteal cells and in the formation of a corpus luteum after ovulation.,BP,luteinization,1,TRINITY_DN33711_c0_g1_i4
GO:0001556,"A developmental process, independent of morphogenetic (shape) change, that is required for an oocyte to attain its fully functional state. Oocyte maturation commences after reinitiation of meiosis commonly starting with germinal vesicle breakdown, and continues up to the second meiotic arrest prior to fertilization.",BP,oocyte maturation,1,TRINITY_DN25694_c0_g1_i1
GO:0001570,"The differentiation of endothelial cells from progenitor cells during blood vessel development, and the de novo formation of blood vessels and tubes.",BP,vasculogenesis,1,TRINITY_DN32325_c0_g2_i1
GO:0001659,A homeostatic process in which an organism modulates its internal body temperature.,BP,temperature homeostasis,2,"TRINITY_DN34342_c2_g3_i9,TRINITY_DN34342_c2_g3_i7"
GO:0001666,"Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a stimulus indicating lowered oxygen tension. Hypoxia, defined as a decline in O2 levels below normoxic levels of 20.8 - 20.95%, results in metabolic adaptation at both the cellular and organismal level.",BP,response to hypoxia,1,TRINITY_DN29658_c5_g4_i2
GO:0001669,"A structure in the head of a spermatozoon that contains acid hydrolases, and is concerned with the breakdown of the outer membrane of the ovum during fertilization. It lies just beneath the plasma membrane and is derived from the lysosome.",CC,acrosomal vesicle,1,TRINITY_DN31840_c4_g2_i1
GO:0001701,"The process whose specific outcome is the progression of the embryo in the uterus over time, from formation of the zygote in the oviduct, to birth. An example of this process is found in Mus musculus.",BP,in utero embryonic development,2,"TRINITY_DN25629_c0_g1_i1,TRINITY_DN29538_c0_g1_i1"
GO:0001725,"A contractile actin filament bundle that consists of short actin filaments with alternating polarity, cross-linked by alpha-actinin and possibly other actin bundling proteins, and with myosin present in a periodic distribution along the fiber.",CC,stress fiber,2,"TRINITY_DN27982_c1_g2_i1,TRINITY_DN29538_c0_g1_i2"
GO:0001726,Projection at the leading edge of a crawling cell; the protrusions are supported by a microfilament meshwork.,CC,ruffle,2,"TRINITY_DN27982_c1_g2_i1,TRINITY_DN29538_c0_g1_i1"
GO:0001763,"The process in which the anatomical structures of branches are generated and organized. A branch is a division or offshoot from a main stem. Examples in animals would include blood vessels, nerves, lymphatics and other endothelial or epithelial tubes.",BP,morphogenesis of a branching structure,1,TRINITY_DN36376_c1_g1_i1
GO:0001768,The directed orientation of T cell signaling molecules and associated membrane rafts towards a chemokine gradient or a contact point with antigen presenting cell.,BP,establishment of T cell polarity,1,TRINITY_DN29538_c0_g1_i2
GO:0001772,"An area of close contact between a lymphocyte (T-, B-, or natural killer cell) and a target cell formed through the clustering of particular signaling and adhesion molecules and their associated membrane rafts on both the lymphocyte and the target cell and facilitating activation of the lymphocyte, transfer of membrane from the target cell to the lymphocyte, and in some situations killing of the target cell through release of secretory granules and/or death-pathway ligand-receptor interaction.",CC,immunological synapse,1,TRINITY_DN29538_c0_g1_i1
GO:0001843,"The last step in the formation of the neural tube, where the paired neural folds are brought together and fuse at the dorsal midline.",BP,neural tube closure,1,TRINITY_DN36376_c1_g1_i1
GO:0001848,Interacting selectively and non-covalently with any component or product of the complement cascade.,MF,complement binding,1,TRINITY_DN37845_c1_g1_i5
GO:0001869,"Any process that stops, prevents, or reduces the rate of complement activation by the lectin pathway.",BP,"negative regulation of complement activation, lectin pathway",1,TRINITY_DN33711_c0_g1_i4
GO:0001872,Interacting selectively and non-covalently with (1->3)-beta-D-glucans.,MF,(1->3)-beta-D-glucan binding,1,TRINITY_DN37845_c1_g1_i1
GO:0001878,"Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a stimulus from a yeast species.",BP,response to yeast,1,TRINITY_DN26161_c0_g1_i2
GO:0001931,"A membrane projection with related cytoskeletal components at the trailing edge of a cell in the process of migrating or being activated, found on the opposite side of the cell from the leading edge or immunological synapse, respectively.",CC,uropod,1,TRINITY_DN29538_c0_g1_i2
GO:0001934,"Any process that activates or increases the frequency, rate or extent of addition of phosphate groups to amino acids within a protein.",BP,positive regulation of protein phosphorylation,1,TRINITY_DN29260_c4_g2_i5
GO:0001937,"Any process that stops, prevents, or reduces the rate or extent of endothelial cell proliferation.",BP,negative regulation of endothelial cell proliferation,1,TRINITY_DN35945_c3_g1_i6
GO:0001942,"The process whose specific outcome is the progression of the hair follicle over time, from its formation to the mature structure. A hair follicle is a tube-like opening in the epidermis where the hair shaft develops and into which the sebaceous glands open.",BP,hair follicle development,2,"TRINITY_DN35906_c1_g4_i4,TRINITY_DN35906_c1_g4_i1"
GO:0002020,Interacting selectively and non-covalently with any protease or peptidase.,MF,protease binding,1,TRINITY_DN33711_c0_g1_i4
GO:0002102,"An actin-rich adhesion structure characterized by formation upon cell substrate contact and localization at the substrate-attached part of the cell, contain an F-actin-rich core surrounded by a ring structure containing proteins such as vinculin and talin, and have a diameter of 0.5 mm.",CC,podosome,1,TRINITY_DN32606_c0_g1_i2
GO:0002149,The chemical reactions and pathways resulting in the formation of hypochlorous acid.,BP,hypochlorous acid biosynthetic process,1,TRINITY_DN26161_c0_g1_i2
GO:0002227,Any process of the innate immune response that takes place in the mucosal tissues.,BP,innate immune response in mucosa,1,TRINITY_DN33883_c1_g4_i1
GO:0002250,"An immune response mediated by cells expressing specific receptors for antigen produced through a somatic diversification process, and allowing for an enhanced secondary response to subsequent exposures to the same antigen (immunological memory).",BP,adaptive immune response,1,TRINITY_DN38165_c0_g1_i12
GO:0002438,"An acute inflammatory response to an antigenic stimulus. An acute inflammatory response occurs within a matter of minutes or hours, and either resolves within a few days or becomes a chronic inflammatory response.",BP,acute inflammatory response to antigenic stimulus,1,TRINITY_DN33711_c0_g1_i4
GO:0002504,The process in which an antigen-presenting cell expresses antigen (peptide or polysaccharide) on its cell surface in association with an MHC class II protein complex.,BP,antigen processing and presentation of peptide or polysaccharide antigen via MHC class II,1,TRINITY_DN37253_c0_g1_i4
GO:0002523,The movement of a leukocyte within or between different tissues and organs of the body contributing to an inflammatory response.,BP,leukocyte migration involved in inflammatory response,1,TRINITY_DN32606_c0_g1_i2
